continent,location,total_deaths,date,total_deaths_per_million,stringency_index,population_density,median_age,gdp_per_capita,aged_65_older,life_expectancy,human_development_index,total_cases,stringency_index,Entity,Code,"Life expectancy at birth, total (years)","Total population (Gapminder, HYDE & UN)",log_life,log_death,log_life_curr
North America,Saint Kitts and Nevis,,2020-10-20,,,212.865,,24654.385,,76.23,0.778,19.0,,Saint Kitts and Nevis,KNA,,44124.686274509804,,,4.346787982581173
Asia,South Korea,447.0,2020-10-20,8.719,,527.967,43.4,35938.373999999996,13.914000000000001,83.03,0.903,25333.0,,South Korea,KOR,57.03641463414633,19236755.60784314,4.061070652058035,6.104793232414985,4.431173877940127
Asia,Kuwait,710.0,2020-10-20,166.25400000000002,,232.128,33.7,65530.537000000004,2.345,75.49,0.8029999999999999,116832.0,,Kuwait,KWT,63.38736363636363,216504.9411764706,4.164917397030616,6.566672429803241,4.337160013333775
Asia,Laos,,2020-10-20,,,29.715,24.4,6397.36,4.029,67.92,0.601,23.0,,Laos,LAO,44.733,1790812.0392156863,3.8228201379673754,,4.232946411659729
Asia,Lebanon,526.0,2020-10-20,77.065,,594.561,31.1,13367.565,8.514,78.93,0.757,62944.0,,Lebanon,LBN,64.69509090909091,1317258.1764705882,4.185024202898155,6.267200548541362,4.381151251637927
Africa,Liberia,82.0,2020-10-20,16.213,,49.126999999999995,19.2,752.788,3.057,64.1,0.435,1381.0,,Liberia,LBR,36.699909090909095,948950.2352941176,3.629657683069336,4.418840607796598,4.175924549214524
Africa,Libya,732.0,2020-10-20,106.53,,3.623,29.0,17881.509,4.4239999999999995,72.91,0.706,49949.0,,Libya,LBY,49.87527272727273,1235373.0,3.929377004481024,6.597145701886651,4.302848136796795
North America,Saint Lucia,,2020-10-20,,,293.187,34.9,12951.839,9.721,76.2,0.747,36.0,,Saint Lucia,LCA,60.414636363636355,74438.60784313726,4.117648184003674,,4.3463994570307305
Europe,Liechtenstein,1.0,2020-10-20,26.221,,237.012,,,,82.49,0.9159999999999999,227.0,,Liechtenstein,LIE,,14257.313725490196,,0.6931471805599453,4.424726864205909
Asia,Sri Lanka,13.0,2020-10-20,0.607,,341.955,34.1,11669.077,10.068999999999999,76.98,0.77,5625.0,,Sri Lanka,LKA,61.65390909090909,7633228.470588235,4.1376260751004,2.6390573296152584,4.356452383554451
Africa,Lesotho,42.0,2020-10-20,19.605999999999998,,73.562,22.2,2851.153,4.506,54.33,0.52,1833.0,,Lesotho,LSO,48.073,733471.0,3.8933089853840213,3.7612001156935624,4.013315256910018
Europe,Lithuania,113.0,2020-10-20,41.50899999999999,,45.135,43.5,29524.265,19.002,75.93,0.858,7726.0,,Lithuania,LTU,70.75042128603103,2472085.098039216,4.2731937262048065,4.736198448394496,4.342895917470844
Europe,Luxembourg,133.0,2020-10-20,212.468,,231.447,39.7,94277.965,14.312000000000001,82.25,0.904,10888.0,,Luxembourg,LUX,69.41242350332594,288300.7254901961,4.254369717812658,4.897839799950911,4.421848128860553
Europe,Latvia,42.0,2020-10-20,22.267,,31.212,43.9,25063.846,19.754,75.29,0.847,3494.0,,Latvia,LVA,70.14634146341463,1867954.3137254901,4.264738903163414,3.7612001156935624,4.334541868102138
Africa,Morocco,2976.0,2020-10-20,80.627,,80.08,29.6,7485.013000000001,6.769,76.68,0.667,175749.0,,Morocco,MAR,50.55827272727272,9302825.235294119,3.942712677262997,7.998671361015776,4.35259782398307
Europe,Monaco,1.0,2020-10-20,25.482,,19347.5,,,,86.75,,268.0,,Monaco,MCO,,19443.86274509804,,0.6931471805599453,4.4744918623459755
Europe,Moldova,1601.0,2020-10-20,396.88,,123.655,37.6,5189.972,10.864,71.9,0.7,67302.0,,Moldova,MDA,63.71927272727272,2423367.7843137253,4.170059035469433,7.379008127628304,4.289088639014612
Africa,Madagascar,238.0,2020-10-20,8.595,,43.951,19.6,1416.44,2.929,67.04,0.519,16810.0,,Madagascar,MDG,42.35872727272728,4289194.31372549,3.769508004134343,5.476463551931511,4.220095767527661
Asia,Maldives,37.0,2020-10-20,68.45,,1454.433,30.6,15183.616000000002,4.12,78.92,0.7170000000000001,11232.0,,Maldives,MDV,40.70754545454545,80370.90196078431,3.7306820585881444,3.6375861597263857,4.381026134340298
North America,Mexico,86338.0,2020-10-20,669.6360000000001,,66.444,29.3,17336.468999999997,6.857,75.05,0.774,854926.0,,Mexico,MEX,59.36236363636363,27296957.8627451,4.100365792118436,11.366036686925185,4.331391018705302
Europe,Macedonia,846.0,2020-10-20,406.07099999999997,,82.6,39.1,13111.214,13.26,75.8,0.757,23788.0,,Macedonia,MKD,63.57836363636363,1255417.4901960783,4.167879426457905,6.741700694652055,4.341204640153626
Africa,Mali,132.0,2020-10-20,6.518,,15.196,16.4,2014.306,2.519,59.31,0.42700000000000005,3407.0,,Mali,MLI,29.82690909090909,4582142.333333333,3.428387980333246,4.890349128221754,4.099497927462895
Europe,Malta,45.0,2020-10-20,101.916,,1454.037,42.4,36513.323,19.426,82.53,0.878,4737.0,,Malta,MLT,69.99028381374723,296664.2156862745,4.262543019983115,3.828641396489095,4.425205848767815
Asia,Myanmar,914.0,2020-10-20,16.798,,81.721,29.1,5591.597,5.732,67.13,0.578,37205.0,,Myanmar,MMR,46.93,18042088.76470588,3.86974161317154,6.818924065275521,4.221417644785577
Europe,Montenegro,240.0,2020-10-20,382.12800000000004,,46.28,39.1,16409.288,14.762,76.88,0.8140000000000001,15760.0,,Montenegro,MNE,66.96281818181818,400777.98039215687,4.218960764187299,5.484796933490655,4.3551691805039985
Asia,Mongolia,,2020-10-20,,,1.98,28.6,11840.846000000001,4.031000000000001,69.87,0.741,326.0,,Mongolia,MNG,52.2199090909091,849020.4901960784,3.974432557372757,,4.260847212822164
Oceania,Northern Mariana Islands,2.0,2020-10-20,34.748000000000005,,119.87799999999999,,,,76.74,,88.0,,Northern Mariana Islands,MNP,,9714.285714285714,,1.0986122886681098,4.353369925424077
Africa,Mozambique,75.0,2020-10-20,2.4,,37.728,17.7,1136.103,3.158,60.85,0.43700000000000006,11080.0,,Mozambique,MOZ,37.16445454545455,6175676.019607843,3.6419045731387265,4.330733340286331,4.124712098838497
Africa,Mauritania,163.0,2020-10-20,35.056,,4.289,20.3,3597.633,3.138,64.92,0.52,7608.0,,Mauritania,MRT,46.50418181818182,719673.3529411765,3.860817745442966,5.099866427824199,4.188441885601216
North America,Montserrat,1.0,2020-10-20,200.04,,,,,,74.16,,13.0,,Montserrat,MSR,,12857.142857142857,,0.6931471805599453,4.319619174545265
Africa,Mauritius,10.0,2020-10-20,7.8629999999999995,,622.962,37.4,20292.745,10.945,74.99,0.79,419.0,,Mauritius,MUS,61.754121951219524,510746.9411764706,4.13922426432015,2.3978952727983707,4.330601752681694
Africa,Malawi,181.0,2020-10-20,9.462,,197.519,18.1,1095.042,2.9789999999999996,64.26,0.47700000000000004,5860.0,,Malawi,MWI,39.00654545454545,2585086.156862745,3.689043077090603,5.204006687076795,4.178379291165174
Asia,Malaysia,190.0,2020-10-20,5.87,,96.25399999999999,29.9,26808.164,6.292999999999999,76.16,0.802,21363.0,,Malaysia,MYS,62.085909090909084,6237443.588235294,4.1444974338474685,5.25227342804663,4.345881188037528
Africa,Namibia,131.0,2020-10-20,51.556000000000004,,3.0780000000000003,22.0,9541.808,3.552,63.71,0.647,12326.0,,Namibia,NAM,49.76945454545454,446563.2549019608,3.927294885262719,4.882801922586371,4.169915749069175
Oceania,New Caledonia,,2020-10-20,,,15.342,33.4,,9.954,77.55,,27.0,,New Caledonia,NCL,60.79866962305987,80238.09523809524,4.123881837096979,,4.36373536470163
Africa,Niger,69.0,2020-10-20,2.85,,16.955,15.1,926.0,2.553,62.42,0.354,1211.0,,Niger,NER,35.43918181818182,2797959.725490196,3.5956446192906717,4.248495242049359,4.149779269110201
Africa,Nigeria,1125.0,2020-10-20,5.457000000000001,,209.588,18.1,5338.454000000001,2.7510000000000003,54.69,0.532,61558.0,,Nigeria,NGA,39.026272727272726,33061791.29411765,3.6895360566850988,7.026426808699636,4.019800597601577
North America,Nicaragua,154.0,2020-10-20,23.247,,51.667,27.3,5321.444,5.445,74.48,0.6579999999999999,5353.0,,Nicaragua,NIC,50.33145454545454,1281250.6666666667,3.9383037133118592,5.043425116919247,4.32386772050035
Europe,Netherlands,6759.0,2020-10-20,394.459,,508.54400000000004,43.2,48472.545,18.779,82.28,0.9309999999999999,235954.0,,Netherlands,NLD,73.54855875831487,9627601.411764706,4.311450708472763,8.81877816903701,4.422208424306714
Europe,Norway,278.0,2020-10-20,51.28,,14.462,39.7,64800.057,16.820999999999998,82.4,0.953,16456.0,,Norway,NOR,73.70002217294902,3178283.8235294116,4.313480388965354,5.631211781821365,4.423648309364701
Asia,Nepal,757.0,2020-10-20,25.980999999999998,,204.43,25.0,2442.804,5.809,70.78,0.574,136036.0,,Nepal,NPL,37.67181818181818,8452765.921568627,3.6551111224042065,6.630683385642372,4.273605885719461
Oceania,New Zealand,25.0,2020-10-20,5.184,,18.206,37.9,36085.843,15.322000000000001,82.29,0.917,1531.0,,New Zealand,NZL,71.25077605321509,1885888.3725490195,4.280143068155825,3.258096538021482,4.42232849394725
Asia,Oman,1114.0,2020-10-20,218.148,,14.98,30.7,37960.709,2.355,77.86,0.821,110594.0,,Oman,OMN,46.586272727272735,496706.4117647059,3.8625443315630292,7.016609683894219,4.367674128449481
Asia,Pakistan,6659.0,2020-10-20,30.146,,255.57299999999998,23.5,5034.708,4.495,67.27,0.562,323452.0,,Pakistan,PAK,49.332363636363645,34479204.39215686,3.9186482824585234,8.803874763534434,4.223470431430189
North America,Panama,2574.0,2020-10-20,596.556,,55.133,29.7,22267.037,7.917999999999999,78.51,0.789,125181.0,,Panama,PAN,63.23936363636363,840126.3333333334,4.162616163555251,7.853604813097837,4.375882799913392
South America,Peru,33820.0,2020-10-20,1025.724,,25.129,29.1,12236.706,7.151,76.74,0.75,870876.0,,Peru,PER,50.368,7798446.470588235,3.939015410491747,10.428837190318218,4.353369925424077
Asia,Philippines,6675.0,2020-10-20,60.913999999999994,,351.87300000000005,25.2,7599.188,4.803,71.23,0.6990000000000001,359169.0,,Philippines,PHL,59.366727272727275,18658979.039215688,4.100438080186419,8.806274284781725,4.2798554720627555
Oceania,Papua New Guinea,7.0,2020-10-20,0.782,,18.22,22.6,3823.1940000000004,3.8080000000000003,64.5,0.544,581.0,,Papua New Guinea,PNG,45.00890909090909,1841463.137254902,3.8288350536256694,2.0794415416798357,4.182050142641207
Europe,Poland,3614.0,2020-10-20,95.491,,124.027,41.8,27216.445,16.762999999999998,78.73,0.865,183248.0,,Poland,POL,68.94345898004435,28087538.156862747,4.2476871868041295,8.192847134592865,4.378645926514404
North America,Puerto Rico,768.0,2020-10-20,268.453,,376.23199999999997,38.2,35044.67,15.168,80.1,,57950.0,,Puerto Rico,PRI,69.99461640798228,2353238.095238095,4.26260404892675,6.645090969505644,4.395682961121367
Europe,Portugal,2198.0,2020-10-20,215.56,,112.37100000000001,46.2,27936.896,21.502,82.05,0.847,101860.0,,Portugal,PRT,64.96188470066518,7817699.31372549,4.189077070671076,7.695757990554761,4.419442836059304
South America,Paraguay,1207.0,2020-10-20,169.225,,17.144000000000002,26.5,8827.01,6.377999999999999,74.25,0.7020000000000001,55452.0,,Paraguay,PRY,64.73709090909091,1391571.9411764706,4.185663315798033,7.0967213784947605,4.3208159036289855
Asia,Palestine,481.0,2020-10-20,94.288,,778.202,20.4,4449.898,3.043,74.05,0.6859999999999999,59082.0,,Palestine,PSE,,787262.0980392157,,6.1779441140506,4.318154558079471
Oceania,French Polynesia,14.0,2020-10-20,49.839,,77.324,32.7,,7.775,77.66,,3797.0,,French Polynesia,PYF,58.25581818181818,81428.57142857143,4.081863972355703,2.70805020110221,4.3651347670036635
Asia,Qatar,224.0,2020-10-20,77.749,,227.322,31.9,116935.6,1.307,80.23,0.856,129671.0,,Qatar,QAT,64.79345454545454,35493.333333333336,4.186520358390214,5.41610040220442,4.397284637062863
Europe,Romania,5931.0,2020-10-20,308.301,,85.12899999999999,43.0,23313.199,17.85,76.05,0.8109999999999999,182854.0,,Romania,ROU,67.33688248337029,16183659.56862745,4.224449627902556,8.688116703257823,4.344454561766125
Europe,Russia,24366.0,2020-10-20,166.965,,8.823,39.6,24765.953999999998,14.177999999999999,72.58,0.816,1415316.0,,Russia,RUS,67.44061640798226,101308848.31372549,4.225966455529054,10.100985036866753,4.2983732496766285
Africa,Rwanda,34.0,2020-10-20,2.625,,494.869,20.3,1854.211,2.9739999999999998,69.02,0.524,4992.0,,Rwanda,RWA,43.50718181818182,2362692.9607843137,3.795650565322988,3.5553480614894135,4.2487809155265195
Asia,Saudi Arabia,5201.0,2020-10-20,149.394,,15.322000000000001,31.9,49045.41099999999,3.295,75.13,0.853,342583.0,,Saudi Arabia,SAU,48.722727272727276,3455988.6274509802,3.9064621177674295,8.556798446008598,4.332442405318121
Africa,Sudan,836.0,2020-10-20,19.065,,23.258000000000003,19.7,4466.5070000000005,3.548,65.31,0.502,13697.0,,Sudan,SDN,50.24518181818182,6309698.352941177,3.9366216002952203,6.729824070489475,4.194340715380776
Africa,Senegal,319.0,2020-10-20,19.052,,82.32799999999999,18.7,2470.58,3.008,67.94,0.505,15432.0,,Senegal,SEN,38.528090909090906,2659527.9803921566,3.677011581406492,5.768320995793772,4.233236561088719
Asia,Singapore,28.0,2020-10-20,4.7860000000000005,,7915.731,42.4,85535.383,12.922,83.62,0.932,57915.0,,Singapore,SGP,67.04381818181818,1037141.2549019608,4.22015188267596,3.367295829986474,4.438170645291922
Oceania,Solomon Islands,,2020-10-20,,,21.840999999999998,20.8,2205.923,3.5069999999999997,73.0,0.546,3.0,,Solomon Islands,SLB,51.705454545454536,97377.66666666667,3.9647189520026553,,4.30406509320417
Africa,Sierra Leone,73.0,2020-10-20,9.151,,104.7,19.1,1390.3,2.5380000000000003,54.7,0.419,2331.0,,Sierra Leone,SLE,31.959181818181822,2047693.862745098,3.49526988125567,4.30406509320417,4.019980146933238
North America,El Salvador,926.0,2020-10-20,142.765,,307.811,27.6,7292.4580000000005,8.273,73.32,0.674,31666.0,,El Salvador,SLV,52.722272727272724,2117558.0196078434,3.9838276776713815,6.831953565565855,4.308380094505583
Europe,San Marino,42.0,2020-10-20,1237.5510000000002,,556.6669999999999,,56861.47,,84.97,,766.0,,San Marino,SMR,,13269.56862745098,,3.7612001156935624,4.453998398186353
Africa,Somalia,101.0,2020-10-20,6.355,,23.5,16.8,,2.7310000000000003,57.4,,3890.0,,Somalia,SOM,38.97627272727273,2354729.705882353,3.6882860962938158,4.624972813284271,4.067315889834181
Europe,Serbia,778.0,2020-10-20,114.334,,80.291,41.2,14048.881000000001,17.366,76.0,0.787,36282.0,,Serbia,SRB,,6551854.2549019605,,6.658011045870748,4.343805421853684
Africa,South Sudan,55.0,2020-10-20,4.913,,,19.2,1569.888,3.4410000000000003,57.85,0.38799999999999996,2847.0,,South Sudan,SSD,33.79736363636364,2603278.1764705884,3.5495416263349213,4.02535169073515,4.074991833706286
Africa,Sao Tome and Principe,15.0,2020-10-20,68.443,,212.84099999999998,18.7,3052.7140000000004,2.886,70.39,0.589,933.0,,Sao Tome and Principe,STP,53.11281818181819,57968.882352941175,3.991071092756692,2.772588722239781,4.268157803514369
South America,Suriname,109.0,2020-10-20,185.80599999999998,,3.612,29.6,13767.118999999999,6.933,71.68,0.72,5133.0,,Suriname,SUR,61.4859090909091,231117.9411764706,4.134941076778205,4.700480365792417,4.28606624352797
Europe,Slovakia,92.0,2020-10-20,16.851,,113.12799999999999,41.2,30155.152000000002,15.07,77.54,0.855,30695.0,,Slovakia,SVK,70.3698580931264,3583541.274509804,4.267875624654341,4.532599493153256,4.363608049149864
Europe,Slovenia,164.0,2020-10-20,78.887,,102.619,44.5,31400.84,19.062,81.32,0.8959999999999999,14477.0,,Slovenia,SVN,68.80465631929047,1408287.8039215687,4.245700716988773,5.10594547390058,4.410614091525794
Africa,Swaziland,116.0,2020-10-20,99.986,,79.492,21.5,7738.975,3.1630000000000003,60.19,0.588,5788.0,,Swaziland,SWZ,45.93181818181818,234420.70588235295,3.8486958714768718,4.762173934797756,4.113983777474449
North America,Sint Maarten (Dutch part),22.0,2020-10-20,513.036,,1209.088,,36327.232,,78.95,,756.0,,Sint Maarten (Dutch part),SXM,,3333.3333333333335,,3.1354942159291497,4.381401439279963
Africa,Seychelles,,2020-10-20,,,208.354,36.2,26382.287,8.606,73.4,0.797,149.0,,Seychelles,SYC,,34849.92156862745,,,4.309455941839047
Asia,Syria,251.0,2020-10-20,14.342,,,21.7,,,72.7,0.536,5134.0,,Syria,SYR,,3538190.901960784,,5.529429087511423,4.300002799195291
North America,Turks and Caicos Islands,6.0,2020-10-20,154.967,,37.312,,,,80.22,,698.0,,Turks and Caicos Islands,TCA,,5666.666666666667,,1.9459101490553132,4.397161522258152
Africa,Chad,93.0,2020-10-20,5.662000000000001,,11.833,16.7,1768.1529999999998,2.4859999999999998,54.24,0.40399999999999997,1390.0,,Chad,TCD,39.487818181818184,2240154.9411764704,3.7010011432333028,4.543294782270004,4.0116873285410914
Africa,Togo,51.0,2020-10-20,6.16,,143.366,19.4,1429.8129999999999,2.839,61.04,0.503,2071.0,,Togo,TGO,43.457454545454546,1387364.1960784313,3.794532654208221,3.9512437185814275,4.127779338308338
Asia,Thailand,59.0,2020-10-20,0.845,,135.132,40.1,16277.671,11.373,77.15,0.755,3700.0,,Thailand,THA,57.095545454545466,19898681.25490196,4.0620889906009126,4.0943445622221,4.358630056867486
Asia,Tajikistan,80.0,2020-10-20,8.388,,64.281,23.3,2896.913,3.466,71.1,0.65,10533.0,,Tajikistan,TJK,58.20890909090909,1664443.3137254901,4.081072021967756,4.394449154672439,4.278054044290903
Asia,Timor,,2020-10-20,,,87.176,18.0,6570.102,3.556,69.5,0.625,29.0,,Timor,TLS,36.483636363636364,458116.45098039217,3.6239044741056845,,4.255612709818223
North America,Trinidad and Tobago,97.0,2020-10-20,69.311,77.78,266.88599999999997,36.2,28763.071,10.014,73.51,0.784,5298.0,77.78,Trinidad and Tobago,TTO,64.29481818181819,610876.9607843137,4.178912679103338,4.584967478670572,4.310933344565636
Africa,Tunisia,687.0,2020-10-20,58.129,,74.22800000000001,32.7,10849.296999999999,8.001,76.7,0.735,42727.0,,Tunisia,TUN,46.13618181818181,3393905.6274509802,3.853040897583155,6.5337888379333435,4.3528552573736015
Asia,Turkey,9371.0,2020-10-20,111.111,,104.914,31.6,25129.341,8.152999999999999,77.69,0.7909999999999999,349519.0,,Turkey,TUR,48.942545454545446,21138888.588235293,3.910873253807903,9.145481799627687,4.365516082546892
Asia,Taiwan,7.0,2020-10-20,0.294,,,42.2,,,80.46,,540.0,,Taiwan,TWN,,7568908.31372549,,2.0794415416798357,4.400112102220266
Africa,Tanzania,21.0,2020-10-20,0.35200000000000004,,64.699,17.7,2683.304,3.108,65.46,0.5379999999999999,509.0,,Tanzania,TZA,45.097272727272724,7622891.039215687,3.830753788323577,3.091042453358316,4.196600262926448
Africa,Uganda,97.0,2020-10-20,2.121,,213.75900000000001,16.4,1697.707,2.168,63.37,0.516,10691.0,,Uganda,UGA,46.69281818181818,5141535.31372549,3.864780824332632,4.584967478670572,4.164647686064525
Europe,Ukraine,5786.0,2020-10-20,132.30100000000002,,77.39,41.4,7894.393,16.462,72.06,0.7509999999999999,309107.0,,Ukraine,UKR,69.65496008869181,36551883.4117647,4.257808313158629,8.663369301573839,4.291281021367136
South America,Uruguay,51.0,2020-10-20,14.682,,19.750999999999998,35.6,20551.409,14.655,77.91,0.804,2560.0,,Uruguay,URY,68.38281818181818,2113262.568627451,4.239639260229744,3.9512437185814275,4.368307962532944
North America,United States,220133.0,2020-10-20,665.049,,35.608000000000004,38.3,54225.445999999996,15.413,78.86,0.924,8214755.0,,United States,USA,70.22705099778273,152889405.49019608,4.26587267600704,12.30199173082301,4.380275101635076
Asia,Uzbekistan,533.0,2020-10-20,15.925,,76.134,28.2,6253.104,4.468999999999999,71.72,0.71,63737.0,,Uzbekistan,UZB,60.67845454545454,6805779.039215687,4.12193467293362,6.280395838960195,4.286616449869223
Europe,Vatican,,2020-10-20,,,,,,,75.12,,26.0,,Vatican,VAT,,949.4117647058823,,,4.332311042427949
North America,Saint Vincent and the Grenadines,,2020-10-20,,,281.78700000000003,31.8,10727.146,7.724,72.53,0.723,67.0,,Saint Vincent and the Grenadines,VCT,62.209909090909086,63715.294117647056,4.146461078275755,,4.297693486208131
South America,Venezuela,736.0,2020-10-20,25.883000000000003,,36.253,29.0,16745.022,6.614,72.06,0.7609999999999999,86636.0,,Venezuela,VEN,61.97636363636364,5688144.215686275,4.142759475618587,6.602587892189336,4.291281021367136
North America,British Virgin Islands,1.0,2020-10-20,33.071999999999996,,207.97299999999998,,,,79.07,,72.0,,British Virgin Islands,VGB,,8380.952380952382,,0.6931471805599453,4.382901252084542
North America,United States Virgin Islands,21.0,2020-10-20,201.105,,306.48,42.2,,18.601,80.58,,1336.0,,United States Virgin Islands,VIR,67.58786252771618,39619.04761904762,4.228115587994835,3.091042453358316,4.401584133889412
Asia,Vietnam,35.0,2020-10-20,0.36,,308.127,32.6,6171.884,7.15,75.4,0.6940000000000001,1140.0,,Vietnam,VNM,60.790909090909096,26124183.1372549,4.123756251554222,3.58351893845611,4.335982696172475
Asia,Yemen,599.0,2020-10-20,20.083,,53.508,20.3,1479.1470000000002,2.9219999999999997,66.12,0.452,2060.0,,Yemen,YEM,37.08109090909091,4514366.411764706,3.639717857335589,6.396929655216146,4.206482062158951
Africa,South Africa,18492.0,2020-10-20,311.79200000000003,,46.754,27.3,12294.876,5.343999999999999,64.13,0.6990000000000001,705254.0,,South Africa,ZAF,53.981909090909085,12990882.509803921,4.007004205504739,9.825147561084876,4.17638527255831
Africa,Zambia,346.0,2020-10-20,18.820999999999998,,22.995,17.7,3689.2509999999997,2.48,63.89,0.588,15897.0,,Zambia,ZMB,46.997,2180836.3725490198,3.8711385089546844,5.849324779946859,4.1726935286330775
Africa,Zimbabwe,232.0,2020-10-20,15.609000000000002,,42.729,19.6,1899.775,2.822,61.49,0.535,8159.0,,Zimbabwe,ZWE,53.28927272727272,3030588.3921568627,3.994326651756029,5.4510384535657,4.135006543940991
,World,1119283.0,2020-10-20,143.594,,58.045,30.9,15469.207,8.696,72.58,,40472505.0,,World,OWID_WRL,55.491886289043535,2536730754.509804,4.034097022336484,13.928199753126748,4.2983732496766285
